school_name,url_address,address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,ccas_offered,subjects_offered,moe_programmes
ADMIRALTY PRIMARY SCHOOL,https://admiraltypri.moe.edu.sg/,11   WOODLANDS CIRCLE,738907,Admiralty Station,"TIBS 965, 964, 913",WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation Mathematics, Foundation Science, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
ADMIRALTY SECONDARY SCHOOL,http://www.admiraltysec.moe.edu.sg,31   WOODLANDS CRESCENT,737916,ADMIRALTY MRT,904,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Mathematics, Basic Malay Language, Science, Social Studies, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Additional Mathematics, Art, Art, Chemistry, Chinese Language, Chinese Language, Computing, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Higher Malay Language, Higher Malay Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In Malay), Music, Physical Education",
AHMAD IBRAHIM PRIMARY SCHOOL,http://www.ahmadibrahimpri.moe.edu.sg,10   YISHUN STREET 11,768643,Yishun,"Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883",YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
AHMAD IBRAHIM SECONDARY SCHOOL,http://www.ahmadibrahimsec.moe.edu.sg,751  YISHUN AVENUE 7,768928,"CANBERRA MRT, YISHUN MRT","117, 167, 169, 800, 811, 812, 883, 856, 858, 859, 965, 969, 980",YISHUN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Music Preparatory Course, Computer Applications, Design & Technology, Social Studies, Art, Design & Technology, History, Literature In English, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, English Language, English Language, Higher Chinese Language, Higher Chinese Language, History, History, Higher Malay Language, Higher Malay Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Music, Physics, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Tamil Language, Music, Physical Education",Enhanced Music Programme
AI TONG SCHOOL,http://www.aitong.moe.edu.sg,100  Bright Hill Drive,579646,Bishan MRT,"410, 162, 52",BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Science, Higher Chinese Language, Mathematics, Music, Physical Education, Science, Social Studies",
ALEXANDRA PRIMARY SCHOOL,http://alexandrapri.moe.edu.sg,2A   Prince Charles Crescent,159016,Redhill Station  Tiong Bahru Station,"51, 122, 139, 186, 970.",BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
ANCHOR GREEN PRIMARY SCHOOL,http://www.anchorgreenpri.moe.edu.sg,31   Anchorvale Drive,544969,MRT : NE16-Sengkang LRT : SW7-TongKang,"Bus 372, 110, 50",SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"FTGP, Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
ANDERSON PRIMARY SCHOOL,http://www.andersonpri.moe.edu.sg,19   ANG MO KIO AVE 9,569785,Yio Chu Kang MRT Station,"Ang Mo Kio Ave 9 - Bus 76, 265, 268",ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
ANDERSON SECONDARY SCHOOL,http://www.andersonsec.moe.edu.sg,10   ANG MO KIO STREET 53,569206,"ANG MO KIO MRT, YIO CHU KANG MRT","265, 548, 45, 50, 72",ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,,"Food & Consumer Education, Basic Chinese Language, Computer Applications, English Language, Mathematics, Basic Malay Language, Mobile Robotics, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Mathematics, Malay Language, Principles Of Accounts, Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Biology, Chemistry, Chinese Language, Chinese Language, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, Higher Malay Language, Higher Malay Language, Higher Tamil Language, Higher Tamil Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Humanities (SS, Literature In Malay), Tamil Language, Tamil Language, Music, Physical Education","Elective Programme in Malay Language for Secondary School, Language Elective Programme (Malay)"
ANDERSON SERANGOON JUNIOR COLLEGE,www.asrjc.moe.edu.sg,4500 ANG MO KIO AVENUE 6,569843,Yio Chu Kang MRT Station,"13, 45, 86, 162, 269, 825, 851, 852, 853, 860",ANG MO KIO,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,"CHINESE ORCHESTRA, CHOIR, GUITAR ENSEMBLE, HARMONICA ENSEMBLE, ENGLISH DRAMA, AUDIO VISUAL AID, DEBATING AND PUBLIC SPEAKING, PHOTOGRAPHY, SCIENCE SOCIETY, VISUAL ARTS CLUB, SHOOTING, BADMINTON, BASKETBALL, HOCKEY, NETBALL, FOOTBALL, SQUASH, TABLE TENNIS, TENNIS, TAEKWONDO, VOLLEYBALL, FRISBEE, MODERN DANCE, POP AND JAZZ, CHINESE LANGUAGE, DRAMA AND DEBATING, INDIAN LANGUAGE, DRAMA AND DEBATING, TOUCH RUGBY, OUTDOOR ADVENTURE, ROCKWALL CLIMBING, CONCERT BAND, COMMUNITY SERVICE (FIRST AID), COMMUNITY SERVICE","Chinese Language Syllabus B, Biology, Chemistry, Chinese Language, Economics, General Studies In Chinese, Geography, General Paper, History, Literature In English, Mathematics, Malay Language, Physics, Project Work, Tamil Language, Art, Biology, Chemistry, Chinese Language And Literature, Computing, Economics, Further Mathematics, Geography, History, Literature In English, Mathematics, Malay Language And Literature, Physics, Tamil Language And Literature, Biology, Chemistry, Smu Game Theory, Mathematics, NTU Molecular Biology, NTU Semiconductor Physics & Devices, Physics, Tamil Language And Literature","Language Elective Programme (Tamil), Engineering and Tech Programme and Scholarship"
ANG MO KIO PRIMARY SCHOOL,http://www.angmokiopri.moe.edu.sg,20   ANG MO KIO AVENUE 3,569920,Ang Mo Kio MRT Station,7.61E+22,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
ANG MO KIO SECONDARY SCHOOL,http://www.angmokiosec.moe.edu.sg,6    ANG MO KIO STREET 22,569362,ANG MO KIO MRT,"13, 74, 76, 88, 130, 132, 133, 136, 165, 169, 265, 268, 269, 851, 852",ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Design & Technology, Food & Consumer Education, Computer Applications, Elements Of Business Skills, Smart Electrical Technology, Additional Mathematics, Art, Science (Phy, Chem), Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Music, Physics, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English)",
ANGLICAN HIGH SCHOOL,http://www.anglicanhigh.moe.edu.sg,600  UPPER CHANGI ROAD,487012,TANAH MERAH MRT,"2, 9, 12, 14, 24, 31, 35, 38, 45, 47, 48",BEDOK,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Chinese,na,na,,"Appreciation Of Chinese Culture, Appreciation Of Chinese Culture, Appreciation Of Chinese Culture, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, Higher Music, Higher Music, History, History, Literature In Chinese, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language (special Programme), Malay Language (special Programme), Music, Physics, Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In Chinese), Humanities (SS, Literature In English), Physical Education",Language Elective Programme (Chinese)
ANGLO-CHINESE JUNIOR COLLEGE,https://acjc.moe.edu.sg,25   DOVER CLOSE EAST,139745,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",QUEENSTOWN,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,"LIBRARY COUNCIL, BADMINTON, BASKETBALL, CANOEING, CROSS COUNTRY, HOCKEY, NETBALL, RUGBY, FOOTBALL, SQUASH, SWIMMING, TRACK AND FIELD, TABLE TENNIS, TENNIS, WATER POLO, VOLLEYBALL, BOWLING, GOLF, BOYS' BRIGADE, CHINESE ORCHESTRA, CHOIR, STRING ENSEMBLE, ART AND CRAFTS, DEBATING AND PUBLIC SPEAKING, COMMUNITY SERVICE (FIRST AID), COMMUNITY SERVICE (ROTARY-SPONSORED), PHOTOGRAPHY","Art, Biology, Chemistry, Chinese Language, Economics, Geography, General Paper, History, Literature In English, Mathematics, Malay Language, Physics, Project Work, Tamil Language, Art, Biology, Chemistry, China Studies In English, Chinese Language And Literature, Computing, Economics, English Language And Linguistic, Further Mathematics, Geography, History, Literature In English, Mathematics, Malay Language And Literature, Music, Physics, Tamil Language And Literature, Theatre Studies & Drama","Drama Elective Programme, Language Elective Programme (English), Music Elective Programme, Humanities Scholarship and Programme, Engineering and Tech Programme and Scholarship"
ANGLO-CHINESE SCHOOL (BARKER ROAD),http://www.acsbr.moe.edu.sg,60   BARKER ROAD,309919,"NEWTON MRT, STEVENS MRT","48, 66, 67, 170, 960, 972",NOVENA,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language Syllabus B, Design & Technology, Food & Consumer Education, Art, Basic Chinese Language, Computer Applications, Elements Of Business Skills, English Language, Mathematics, Basic Malay Language, Mobile Robotics, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Computing, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, History, History, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Malay Language Syllabus B, Music, Physical Education, Tamil Language Syllabus B",
ANGLO-CHINESE SCHOOL (INDEPENDENT),http://www.acsindep.moe.edu.sg,121  DOVER ROAD,139650,"DOVER MRT, BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",QUEENSTOWN,SOUTH,INDEPENDENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,No,No,Yes,Yes,Chinese,Malay,Tamil,,"Chinese Language Syllabus B, Additional Mathematics, Biology, Chemistry, Chinese Language, Chinese Language, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, Higher Music, Higher Music, History, History, Higher Malay Language, Higher Malay Language, Higher Tamil Language, Higher Tamil Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Malay Language (special Programme), Malay Language (special Programme), Physics, Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Malay Language Syllabus B, Music","Music Elective Programme, Music Elective Programme, Regional Studies Programme, Humanities Scholarship and Programme, Engineering and Tech Programme and Scholarship"
ANGLO-CHINESE SCHOOL (JUNIOR),www.acsj.moe.edu.sg,16   WINSTEDT ROAD,227988,Newton MRT Station,"5, 54, 124, 143, 162, 162M, 167, 167e, 518, 518A, 972M",CENTRAL,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Higher Chinese Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
ANGLO-CHINESE SCHOOL (PRIMARY),http://www.acspri.moe.edu.sg/,50   BARKER ROAD,309918,Newton MRT Station,"Bus 48, 66, 67, 170, 603, 972M",NOVENA,SOUTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,Yes,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
ANGSANA PRIMARY SCHOOL,https://angsanapri.moe.edu.sg/,3    Tampines Street 22,529366,Tampines and Simei Stations,"Bus Service 8, 17, 18, 20, 28, 34, 39, 59, 518, Feeder Bus Service 292",TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
ASSUMPTION ENGLISH SCHOOL,http://www.assumptionenglish.moe.edu.sg,622  UPPER BUKIT TIMAH ROAD,678117,CASHEW MRT,"67, 75, 170, 176, 178, 184, 961, 963, 970",BUKIT PANJANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language Syllabus B, Design & Technology, Food & Consumer Education, Art, Basic Chinese Language, Computer Applications, Elements Of Business Skills, Mathematics, Basic Malay Language, Science, Social Studies, Art, Chinese Language, Geography, History, Literature In English, Mathematics, Malay Language, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Additional Mathematics, Biology, Chemistry, Chinese Language, Chinese Language, English Language, English Language, Geography, Geography, Higher Chinese Language, History, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Music",
ASSUMPTION PATHWAY SCHOOL,http://www.aps.edu.sg,30   Cashew Road,679697,"DOWNTOWN LINE 2, CASHEW MRT","SBS Transit No 170    SMRT No 67, 75, 171, 176, 178, 184, 961, 963 & 970",BUKIT PANJANG,WEST,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Mathematics B, Mathematics C, Infocom Technology, Montfort Development Program, Performing Arts, Mathematics B, Mathematics C, Infocom Technology",
BARTLEY SECONDARY SCHOOL,http://www.bartleysec.moe.edu.sg,10   JALAN BUNGA RAMPAI,538403,"BARTLEY MRT, TAI SENG MRT","22, 24, 28, 43, 58, 62, 70, 70M, 76, 80, 80A, 93, 158",TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Applied Learning Programme, Chinese Language Syllabus B, Art, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Music, Mobile Robotics, Science, Social Studies, Basic Tamil Language, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Tamil Language, Malay Language Syllabus B, Music, Physical Education, Tamil Language Syllabus B",
BEACON PRIMARY SCHOOL,https://beaconpri.moe.edu.sg/,36   Bukit Panjang Ring Road,679944,"Bangkit LRT, Fajar LRT Station","920, 922, 971, 972, 972A, 972M, 976",BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
BEATTY SECONDARY SCHOOL,http://www.beattysec.moe.edu.sg,1    TOA PAYOH NORTH,318990,"BRADDELL MRT, TOA PAYOH MRT","28, 56, 73, 88, 93, 105, 153, 155, 157, 159, 163, 231, 232",TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Chinese Language Syllabus B, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Smart Electrical Technology, Food & Consumer Education, Mathematics, Basic Malay Language, Nutrition And Food Science, Science, Basic Tamil Language, Additional Mathematics, Art, Design & Technology, English Language, Food & Consumer Education, Geography, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, Higher Malay Language, Higher Malay Language, Higher Tamil Language, Higher Tamil Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Tamil Language, Music, Physical Education, Tamil Language Syllabus B",
BEDOK GREEN PRIMARY SCHOOL,http://www.bedokgreenpri.moe.edu.sg,1    BEDOK SOUTH AVE 2,469317,"Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38",BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
BEDOK GREEN SECONDARY SCHOOL,http://www.bedokgreensec.moe.edu.sg,360  BEDOK NORTH AVE 3,469722,"BEDOK MRT, BEDOK RESERVOIR MRT","14, 17, 18, 28, 46, 66, 67, 69, 168, 222, 228, 506",BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Design & Technology, Food & Consumer Education, Art, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Smart Electrical Technology, Food & Consumer Education, Mathematics, Basic Malay Language, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Exercise & Sports Science, Food & Consumer Education, Geography, Geography, History, History, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Music, Physical Education",
BEDOK SOUTH SECONDARY SCHOOL,https://bedoksouthsec.moe.edu.sg/,1    JALAN LANGGAR BEDOK,468585,TANAH MERAH MRT,"10, 14, 45",BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Science, Social Studies, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Music, Physical Education",
BEDOK VIEW SECONDARY SCHOOL,http://www.bedokviewsec.moe.edu.sg,6    BEDOK SOUTH AVENUE 3,469293,TANAH MERAH MRT,"2, 9, 12, 14, 24, 25, 31, 35, 38, 45, 46, 47, 48, 506",BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Chinese Language Syllabus B, Computer Applications, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, Higher Malay Language, Higher Malay Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Malay Language Syllabus B, Music, Physical Education, Tamil Language Syllabus B",
BENDEMEER PRIMARY SCHOOL,http://www.bendemeerpri.moe.edu.sg/,91   BENDEMEER ROAD,339948,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X ,133,140,147,853,857,985",KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation English Language, Foundation Mathematics, Foundation Science, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
